,problem,Link,comments,Category,Title,Statement,Comments,Label_Updated,New_Label,
1,Air hunger very severe scared,/forums/discuss/air-hunger-very-severe-scared-685010,7,Asthma,Air hunger very severe scared,hi i am a 26 year old male who has had severe air hunger for going on a entire year its very bad i gasp and gulp air every minute of every single day im gasping yawning sighing and gulping once a minute at the very least... ive had ekgs normal blood test normal ct scans normal x-rays normal blood clot test normal and ent normal i also went to a pulmonologist the first time i went my spirometry was 75 the normal reading is 80  and he didn't Know why he suspected asthma so he did a spirometry with a inhaler my test showed no improvments... i came back again did another spirometry and this time the results were normal 85 but he still seen a mild abnormality he wasnt concerned he officially ruled out the lungs.... well i began feeling sicker past few days and i went ti a mee doctor for another opinion and this family doctor did another Spirometry the readings were back in the 70's this time at 72 he said he wasn't sure he said potentially asthma or psychosomatic causing it but i know its not who can relate and share there story... please do nothi i am a 26 year old male who has had severe air hunger for going on a entire year its very bad i gasp and gulp air every minute of every single day im gasping yawning sighing and gulping once a minute at the very least... ive had ekgs normal blood test normal ct scans normal x-rays normal blood clot test normal and ent normal i also went to a pulmonologist the first time i went my spirometry was 75 the normal reading is 80  and he didn't Know why he suspected asthma so he did a spirometry with a inhaler my test showed no improvments... i came back again did another spirometry and this time the results were normal 85 but he still seen a mild abnormality he wasnt concerned he officially ruled out the lungs.... well i began feeling sicker past few days and i went ti a mee doctor for another opinion and this family doctor did another Spirometry the readings were back in the 70's this time at 72 he said he wasn't sure he said potentially asthma or psychosomatic causing it but i know its not who can relate and share there story... please do not forget i gasp for air 24/7 every single minute searching for a deep and satisfying Breath... forget i gasp for air 24/7 every single minute searching for a deep and satisfying Breath...,"Hi

are you in the uk or america?

you seem really stressed but dont seem to be getting anywhere with it which is not doing you any good.

id suggest you need to see a Specialist  

i apologise about the typing my ipad has amind of its own tonight! ",neutral,negative,"support emotion (no self-experience) (""you seems really stressed"") but no companionship or information"
7,asthma,/forums/discuss/asthma-630131,2,Asthma,asthma,"I have had a very bad cold since 23 rd Dec of which has now gone into asthma I have been put on antibiotics, and nebuliser 4 times a day and 8 a day steroid tablets .. I have not been sleeping. Very well but when I do full to sleep I wake up an hour later and cannot breath , I was rushed to hospital 2 days ago put on nebuliser and chest X-ray ,bloods and gas oxygen bloods were fine peak flow good ,got sent home and told to carry on at home with medicine and nebuliser, however still happening so struggling as so scared to sleep .. I have also had terrible pain in my right lung and when coughing it’s killing me has anyone else had this problem and can you advice me please just don’t know what to do or up my nebuliser .please help",Hi this happened to me last year following a chest infection simalar treatment managed to sleep sitting in chair also had chest ache/pain as pulled muscles in chest from coughing so much keep up with meds and go back to doctors.,neutral,positive,Support by companionship (self-experience) + Support by information (suggestion) + Support by Emotion
11,Asthma/chest infection/pleurisy,/forums/discuss/asthma-chest-infection-pleurisy-616074,2,Asthma,Asthma/chest infection/pleurisy,"Started  two weeks ago asthma started to go pear shaped started rescue antibiotics and steroids this. Week pain in chest went to doctors now have pleurisy,now on all meds’ plus painkillers playing havoc with asthma  anybody else suffererd with this how long will it last?"," Hi Nigel, I had pleurisy a few years ago and it was a really horrible experience - I&#39;d never heard of it before. I&#39;d feel a stabbing pain every time I laughed, coughed, sneezed and even when I breathed too deeply. I was given some pretty strong pain relief and I think I needed a couple of injections (I believe I was even given one to do at home) but after a lot of rest I started to feel better. I think resting is the main thing to focus on! Get well soon. ",positive,positive,support info (suggestion) +self experience
13,Ventolin Inhaler,/forums/discuss/ventolin-inhaler-678106,3,Asthma,Ventolin Inhaler," We had workmen ripping out bathroom and putting in a wetroom past 2weeks. Plasterdust etc had affect on my breathing, inhaling smoke or dust has also affected me. However I had a sort of flu virus symptoms too but dr said my lungs and bloods were ok. He gave me an inhaler as I said my granddaughter&#39;s helped but I feel I am allergic and also do not need it now. After taking a puff this morning however, 5hrs ago, I feel shaky and bit giddy and want to know how long I will feel like this.  Could it be anxiety as I do suffer at times from this. ",A side effect of ventolin can give you the shakes it should wear off but call your docs if you are still affected or worried ,negative,positive,support by companionship (self-experience) +support by information (suggestion)
15,"                    I have been recently diagnosed with Asthma at 60, never had any sort of chest issues as all.                ",/forums/discuss/i-have-been-recently-diagnosed-with-asthma-at-60-never-had-any-sort-of-chest-issues-as-all--611111,2,Asthma,"I have been recently diagnosed with Asthma at 60, never had any sort of chest issues as all.","I have come to reside in Northern Ireland after living for last 20 years in Denver, Colorado, a mile high altitude, where I was a very active person, I am wondering if coming from such a dry environment, a mile high to sea level in a much more humid environment could have any role in this adult onset of Asthma"," Hi Iris,  I also was diagnosed with Asthma at a similar age, &#160;after getting a virus on holiday but I am now living in Oxfordshire which is damp, which doesn&#39;t help. &#160;Did you catch a bug first? &#160;  I don&#39;t get symptoms except when I&#39;m ill really or sports. &#160;I should think the change of climate hasn&#39;t helped. &#160;Years ago a health visitor told me that changing counties let alone countries exposes you to new germs so that you catch everything going until your immune system gets used to the new location. &#160; ",neutral,negative,
25,Update,/forums/discuss/update-514482,4,Asthma,Update,"update on my last post adult on set asthma.. Thanks for all the replies they where a great help after going back and forward the the Drs,  asthma nurse and 2 lots of steroids in 3 weeks. My medication is fostair 2 puffs in the morning 2 in the evening and montelukast 1 at night. So far so good it's early days but I'm hopeful ","I too have had asthma for 2 years being an adult its harder than having it growing up.

I however could not get on with the Forstair tho gave me terrible indegestion.

do you have any other allergies as i have hayfever and find this time of year the hardest to cope.",neutral,neutral,"support by companionship (""suffering from same problem"") but no suggestion"
29,Asthma Trigger Help,/forums/discuss/asthma-trigger-help-568666,8,Asthma,Asthma Trigger Help,"Hello,

My name is Nick; I am a 24-year-old male with severe asthma. I was diagnosed when I was 3 months old. When I turned 15 years of age, my asthma seemed to have disappeared. However, around the age of 20 my asthma has started coming back. It is also getting much worse then what it used to be and back in May of 2016, I was intubated and was in the ICU for about a week. Since then I have five more attacks that I was close to being intubated but was able to recover with the help from the ER. I have never figured out what my trigger is and have done some work, I need some assistance to try, and figure out what is triggering my asthma. Details are below.
 
Doctors:
Family Doctor
Asthma Specialist
Allergy Specialist

Medicine:
Advair
Ventolin
Montekulast (Sigulair)
Omeprazole (GERD)
Apo-Mometasone (Allergies and Post Nasal Drip)

Actions Taken:
Hypoallergenic bedding with asthma approval
Vacuum 2-3 times weekly
Dust 2-3 weekly             
Wear a respirator when cleaning
Removed Milk and Pop from diet
Regular workout (I do not have any issues while being active)
Steam Shower Nightly (This is recent but has been helping immensely)
Air purifiers (Home and Work)
Humidifiers (Home)
Removed all scents (cologne, soaps, air fresheners, etc.)
Wash my Cats frequently (They love water anyway)
Removed all water damage and mold (Remolded house when I moved in)
Smokeless Environment (Not near anyone who smokes and the few who do are not allowed to do in my car or in my house)
Wear heavy jackets and use a scarf over mouth when it is cold
Cats are not allowed in my room

Allergies:
Mice
Hamsters
Birch
I am not allergic to my cats however, I still take precautions.

I have been averaging on 4-5 attacks a year and I have issues where I need to use my rescue inhaler frequently. I have never had an attack on a weekend and about 80% of the time the issue occurs at work. Leaving work, it gets better within 30min with the help of rescue inhalers.

One more note is when I was younger it was always called asthmatic croup. My last visit to the hospital the doctor noted that my asthma presented a lot like croup still. Which should not be possible due to my age. He also noted that my upper airways are also closing.

If any more details are needed please let me know.",Also I should note I work as a Desktop Support Analyst in an automotive plant. I am also willing to try alternative medicine like acupuncture.,neutral,negative,
33,Asthma or Anxiety,/forums/discuss/asthma-or-anxiety-533340,5,Asthma,Asthma or Anxiety," Hi there, I reckon I have suffered with anxiety for over 2 years now and the last few months have for progressively worse to the point my doctor wants to put me on antidepressants although I&#39;m not depressed, the 2 are different issues!  I have found at times that out the blue I start wheezing when inhaling and it&#39;s really scary as I automatically think I&#39;m going to stop breathing (hence the anxiety) I have had a chest X-ray, lung function test and ECG and all were normal in fact the spiriometery test was above average. I am really curious and any info regarding this would be really appreciated... Can anxiety really cause wheezing or have the doctors misdiagnosed and I may possibly have asthma?! &#129300; "," Hi Lisa,    Just a quick note of how much I understand what you&#39;re going through. I&#39;ve been sick for 16 years and because they can&#39;t find the biological basis for it the doctors that see me in the hospital try to say it&#39;s a psych thing. Never mind the two doctors who&#39;ve seen me all these years say differently. So, yeah, I get it.    So, as for you my dear, there is something that comes to mind regarding your symptoms that you might want to have considered. It&#39;s call vocal chord dysfunction (VCD) I can be caused by anxiety, anxiety definitely makes it worse. People may often be thought to have asthma but upon all the testing (PFT&#39;s and the like) its all negative. Then they find out they have a VERY treatable thing called VCD! You can see a speech therapist who can help you relearn talking and breathing techniques and teach you interventions to mitigate they symptoms and get you back to being focused on living rather than whether or not you&#39;re going to stop breathing or not. Whew! What a relief it would be! Huh?    So, the thing is, a lot of the anxylitics are actually addictive. Things like klonopin, xanax, and I think even ativan, can be physically addictive, as well as psychologically addictive. Addiction can run on both sides of the gamet. The body may become physically dependent on a drug, but the mind can also become dependent. So there can be a double whammy. That said, frequently, various classes of antidepressants are often used to very successfully treat mild anxiety. (It doesn&#39;t take much anxiety to make one feel that one can&#39;t breath!) The beauty of the antidepressants is that they aren&#39;t addictive! Ones like the class called tricyclic antidepressants are particularly useful in this area. There may well be some newer classes that I&#39;m not aware of. But the tricyclics are oldies but goodies, as the saying goes.    So in short, the antidepressants might be a good interim treatment to help you get through until you can figure out what&#39;s really going on!    Just remember, you can always get a second opinion, but you have to be careful about that. Because if you look long and hard enough, you&#39;ll eventually find a doctor to treat you the way you WANT to be treated, rather than the way you NEED to be treated!    I hope this helps. From what little I can gather, it sounds to me like you&#39;re doctors actually on the right tract!    Hope you feel better soon! ",positive,positive,
36,Need a new maintenance med,/forums/discuss/need-a-new-maintenance-med-591316,7,Asthma,Need a new maintenance med," Just last night, I was in the ER with a horrible asthma attack (I&#39;ve never had it bad enough to go the ER before)...and the thing is, this is while on Symbicort!&#160;    I was trying it out, since about January or so, and while I wasn&#39;t a huge fan of it because I couldn&#39;t really tell if it was doing its job or not (whereas when I was taking Flovent, for example, I could -- for awhile, then it just seemed meh), I decided to keep taking it...and well, obviously it wasn&#39;t doing it for me.&#160;    At the ER they suggested Advair and to bring it up with my doctor.&#160;    Obviously you guys aren&#39;t doctors, but I want to be as educated as I can be when I go see my doctor. What do you think?    I&#39;m really hoping my doctor&#39;s office stops being stupid and lets me see my NP rather than GP because they say that ER follow-ups are with GPs not NPs...but the thing is, I&#39;ve literally seen my GP no more than 3 times in the 6 years he&#39;s been my doctor, and that&#39;s including my initial visit! My NP on the other hand is who I see 9/10 times, so she&#39;s the one who knows my history and has SEEN my asthma. So yes, GP can see on paper, but I don&#39;t think that&#39;s nearly as good. Thoughts on that?    Thanks! "," Hello, I have used Advair and it really didn&#39;t do anything for me. Plus it was really expensive. I use Flovent and am very happy with it. I was told if you as a doctor if he/she would take advair was told they would say no....Plus I stay up on my allergy pills and flu and pneumonia shots.&#160;    &#160; ",neutral,neutral,
37,"                     Diagnosed with type 2 brittle asthma, but currently struggling with severe chronic symptoms                ",/forums/discuss/diagnosed-with-type-2-brittle-asthma-but-currently-struggling-with-severe-chronic-symptoms-62070,6,Asthma,"Diagnosed with type 2 brittle asthma, but currently struggling with severe chronic symptoms","I was diagnosed with type 2 brittle asthma about 20+ years ago. I take a cocktail of meds to control my asthma, however over the last few months following a very severe attack, I have had repeated chest infections and I am struggling to maintain a stable PF currently 250 and below (normally 450+) and I am experiencing frequent severe exacebations 4 ITU admissions in the last 4 months.I can't exercise even walking up a flight of stairs is a struggle. I am feeling seriously miserable and isolated. Is there anyone out there that knows
 what I am going through that can advise. It is seriously ""doing my head in!""","Hi, I also have brittle asthma.  It has also taken over my life.  Lost a lot of friends because of it.  I went for a procedure.  Bronchial Thermoplasty.  I am still in the recovery stage, but already feel so much better!",positive,neutral,
